feature,class,mean,std,count
contrast_mean,Normal,390.30406338711725,161.02220977329267,207
contrast_mean,Abnormal,49.6284591133544,65.31951501628677,117
dissimilarity_mean,Normal,6.775185235755561,1.8919283196290593,207
dissimilarity_mean,Abnormal,3.665568742740894,1.6086325597295035,117
homogeneity_mean,Normal,0.5689652717911872,0.11219518244776623,207
homogeneity_mean,Abnormal,0.3998500191251575,0.16657561001323962,117
ASM_mean,Normal,0.21875806029998518,0.11096380237494893,207
ASM_mean,Abnormal,0.02172385570950869,0.07504452967395182,117
energy_mean,Normal,0.44893056027675277,0.13113214529474843,207
energy_mean,Abnormal,0.07859817015546658,0.12441870865308013,117
correlation_mean,Normal,0.9607358639964617,0.014283096158360604,207
correlation_mean,Abnormal,0.9769286587690804,0.014970321889236192,117
